service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
220,0,0,0,0,0,1,0,20250324,20250531
394,0,0,0,0,1,0,0,20250324,20250531
397,0,0,0,0,0,1,0,20250324,20250531
467,0,1,0,0,0,0,0,20250324,20250531
469,0,0,0,0,0,0,1,20250324,20250531
470,0,0,0,0,0,1,0,20250324,20250531
471,1,1,1,1,1,0,0,20250324,20250531
472,0,0,0,0,0,0,1,20250324,20250531
477,1,0,0,0,0,0,0,20250324,20250531
480,0,0,0,1,0,0,0,20250324,20250531
481,0,0,0,0,0,1,0,20250324,20250531
482,1,1,0,0,1,0,0,20250324,20250531
483,0,0,1,1,0,0,0,20250324,20250531
487,0,0,0,0,0,0,1,20250324,20250531
490,1,1,1,1,1,0,0,20250324,20250531
493,0,0,1,0,0,0,0,20250324,20250531
496,0,0,0,0,1,0,0,20250324,20250531
498,1,0,0,0,0,0,0,20250324,20250531
499,0,0,0,0,1,0,0,20250324,20250531
505,0,1,1,1,0,0,0,20250324,20250531
509,0,0,0,0,0,0,1,20250324,20250531
511,1,1,1,1,1,0,0,20250324,20250531
512,1,1,1,1,1,0,0,20250324,20250531
513,0,0,0,0,0,1,0,20250324,20250531
516,0,0,0,0,0,0,1,20250324,20250531
518,0,0,0,0,0,1,0,20250324,20250531
527,0,0,0,0,0,0,1,20250324,20250531
528,0,0,0,0,0,1,0,20250324,20250531
529,0,0,0,0,1,0,0,20250324,20250531
531,0,0,1,0,0,0,0,20250324,20250531
532,1,1,0,1,0,0,0,20250324,20250531
547,1,1,1,1,1,0,0,20250324,20250531
556,0,0,0,0,0,0,1,20250324,20250531
557,0,0,0,0,0,1,0,20250324,20250531
560,0,0,0,0,0,1,0,20250324,20250531
561,0,0,0,0,0,0,1,20250324,20250531
563,1,1,1,1,1,0,0,20250324,20250531
565,0,0,0,0,0,0,1,20250324,20250531
566,1,1,1,1,1,0,0,20250324,20250531
568,0,0,0,0,0,1,0,20250324,20250531
569,0,0,0,0,0,1,0,20250324,20250531
570,1,1,1,1,1,0,0,20250324,20250531
571,0,0,0,0,0,0,1,20250324,20250531
630,0,0,0,0,0,1,0,20250324,20250531
631,1,0,1,0,1,0,0,20250324,20250531
632,0,0,0,1,0,0,0,20250324,20250531
633,1,0,1,0,1,0,0,20250324,20250531
634,0,0,0,1,0,0,0,20250324,20250531
635,1,1,1,1,1,0,0,20250324,20250531
636,0,0,0,0,0,0,1,20250324,20250531
637,0,0,1,0,0,0,0,20250324,20250531
638,0,0,0,0,0,0,1,20250324,20250531
84,1,1,1,1,1,0,0,20250324,20250531
