route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
87,513,20006,"Sveitarfélagið Vogar",,1,"87-A",2073,,
"A6",469,20014,"Síðuhverfi-Naustahverfi",,0,"A6",2102,,
"A5",490,20070,,,0,"A5",2130,,
55,512,20073,"KEF-Airport",,1,"55-A",2069,,
"A1",490,20075,,,0,"A1",2126,,
89,512,20085,"Sandgerði",,0,"89-A",2070,,
55,513,20086,"Fjörður",,0,"55-A",2068,,
"R3",84,20106,,,0,"3-R",2114,,
55,513,20161,"Fjörður",,0,"55-A",2068,,
55,512,20165,"Fjörður",,0,"55-A",2068,,
"A6",490,20178,"Síðuhverfi-Naustahverfi",,0,"A6",2102,,
89,512,20183,"Sandgerði",,0,"89-A",2172,,
55,509,20240,"KEF-Airport",,1,"55-A",2069,,
"A2",490,20260,,,0,"A2",2127,,
"A2",490,20280,,,0,"A2",2127,,
"A6",490,20336,"Síðuhverfi-Naustahverfi",,0,"A6",2102,,
55,512,20349,"Reykjavík-BSÍ",,0,"55-A",2170,,
"A2",490,20355,,,0,"A2",2127,,
"A6",470,20357,"Síðuhverfi-Naustahverfi",,0,"A6",2102,,
87,512,20372,"Miðstöð",,0,"87-A",2072,,
78,482,20401,"Siglufjörður",,1,"78-A",2099,,
"A1",490,20410,,,0,"A1",2126,,
87,509,20426,"Miðstöð",,0,"87-A",2072,,
89,512,20427,"Reykjanesbær-Miðstöð",,1,"89-A",2071,,
"A3",490,20437,,,0,"A3",2128,,
78,482,20482,"Akureyri",,0,"78-A",2096,,
"R3",84,20518,,,0,"3-R",2114,,
87,512,20537,"Miðstöð",,0,"87-A",2072,,
"A2",490,20575,,,0,"A2",2127,,
"A6",470,20585,"Síðuhverfi-Naustahverfi",,0,"A6",2102,,
"R1",84,20596,,,0,"1A-R",2113,,
"R3",84,20609,,,0,"3-R",2114,,
89,513,20628,"Reykjanesbær-Miðstöð",,1,"89-A",2071,,
55,512,20663,"KEF-Airport",,1,"55-A",2069,,
