service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
107,0,0,0,0,0,1,0,20240609,20240814
108,1,0,0,0,0,0,0,20240609,20240814
109,1,1,1,1,1,0,0,20240609,20240814
110,0,0,0,0,1,0,0,20240609,20240814
111,0,0,0,0,1,0,0,20240609,20240814
112,1,0,1,0,1,0,0,20240609,20240814
113,0,0,0,0,0,0,1,20240609,20240814
114,1,1,1,1,1,0,0,20240609,20240814
115,0,0,1,0,0,0,0,20240609,20240814
116,0,0,0,0,0,1,0,20240609,20240814
117,0,0,0,0,0,1,0,20240609,20240814
118,0,0,0,0,0,0,1,20240609,20240814
119,0,0,0,0,0,0,1,20240609,20240814
120,0,0,0,0,0,0,1,20240609,20240814
121,0,0,0,0,0,1,0,20240609,20240814
122,0,0,0,0,0,0,1,20240609,20240814
123,0,0,0,0,0,1,0,20240609,20240814
124,1,1,1,1,1,0,0,20240609,20240814
125,1,1,1,1,1,0,0,20240609,20240814
126,0,0,0,0,0,1,0,20240609,20240814
127,0,0,0,0,0,1,0,20240609,20240814
128,0,0,0,0,0,0,1,20240609,20240814
129,0,0,0,1,0,0,0,20240609,20240814
130,0,0,0,1,0,0,0,20240609,20240814
131,0,0,0,0,0,1,0,20240609,20240814
132,0,0,0,0,0,1,0,20240609,20240814
133,1,1,1,1,1,0,0,20240609,20240814
134,0,0,0,1,0,0,0,20240609,20240814
135,0,1,0,0,0,0,0,20240609,20240814
136,1,1,1,1,1,0,0,20240609,20240814
137,1,1,1,1,1,0,0,20240609,20240814
138,1,1,1,1,1,0,0,20240609,20240814
139,0,0,0,0,0,1,0,20240609,20240814
14,0,0,0,0,0,0,1,20240609,20240814
140,0,0,0,0,0,0,1,20240609,20240814
141,0,0,0,0,0,1,0,20240609,20240814
142,0,0,0,0,0,0,1,20240609,20240814
17,1,1,0,1,0,0,0,20240609,20240814
22,0,0,0,0,0,0,1,20240609,20240814
24,0,0,0,0,0,0,1,20240609,20240814
26,0,0,0,0,0,0,1,20240609,20240814
28,1,1,0,0,1,0,0,20240609,20240814
33,1,1,1,1,1,0,0,20240609,20240814
34,0,0,0,0,0,1,0,20240609,20240814
36,0,0,0,0,0,0,1,20240609,20240814
39,0,0,1,0,0,0,0,20240609,20240814
4,0,0,0,0,0,0,1,20240609,20240814
41,1,0,1,1,0,0,0,20240609,20240814
47,0,0,0,0,1,0,0,20240609,20240814
49,0,0,0,0,0,1,0,20240609,20240814
51,0,0,1,0,1,0,0,20240609,20240814
53,0,0,0,0,0,1,0,20240609,20240814
54,0,0,0,0,1,0,0,20240609,20240814
55,0,0,0,0,0,1,0,20240609,20240814
56,1,1,1,1,1,0,0,20240609,20240814
58,0,0,0,0,0,1,0,20240609,20240814
59,0,0,1,0,0,0,0,20240609,20240814
6,0,0,0,0,1,0,0,20240609,20240814
63,1,1,1,1,1,0,0,20240609,20240814
66,1,1,1,1,0,0,0,20240609,20240814
68,1,1,0,1,0,0,0,20240609,20240814
7,0,0,0,0,0,1,0,20240609,20240814
71,0,0,0,0,0,0,1,20240609,20240814
73,0,0,0,0,0,1,0,20240609,20240814
75,0,0,0,0,0,0,1,20240609,20240814
81,0,0,0,0,0,1,0,20240609,20240814
83,1,1,1,1,1,0,0,20240609,20240814
85,1,1,1,1,1,0,0,20240609,20240814
86,0,0,0,0,0,0,1,20240609,20240814
9,0,0,0,0,0,0,1,20240609,20240814
97,1,1,1,1,1,0,0,20240609,20240814
