route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5,120,20001,"Nauthóll",,1,"5-C",73,,
28,119,20002,"Dalaþing",,0,"28-A",4,,
6,125,20003,"HÍ",,1,"6-B",39,,
16,124,20004,"Skúlagata",,1,"17-A",204,,
17,116,20005,"Skúlagata",,1,"17-A",202,,
87,53,20006,"Sveitarfélagið Vogar",,1,"87-A",107,,
1,123,20007,"Skúlagata",,1,"1-A",26,,
8,125,20008,"Nauthóll - HR",,1,"8-A",126,,
82,110,20009,"Stykkishólmur",,0,"82-A",85,,
7,117,20010,"Spöngin",,1,"7-A",7,,
7,138,20011,"Leirvogstunga",,0,"7-A",8,,
21,97,20012,"Hvaleyrarholt",,1,"21-C",1,,
13,120,20013,"Eiðisgrandi",,0,"13-A",70,,
"A6",36,20014,"Síðuhverfi-Naustahverfi",,0,"A6",95,,
3,125,20015,"Sel/Fell",,0,"3-D",118,,
24,81,20016,"Spöng",,1,"24-A",144,,
1,123,20017,"Skúlagata",,1,"1-A",26,,
88,22,20018,"Grindavíkurafleggjari",,0,"88-A",61,,
1,123,20019,"Skúlagata",,1,"1-E",26,,
11,126,20020,"Seltjarnarnes",,0,"11-A",65,,
36,138,20021,"Engihjalli/Kársnes",,0,"36-A",6,,
19,136,20022,"Kaplakriki",,1,"19-A",49,,
18,123,20023,"Skúlagata um Grafarholt",,0,"18-D",42,,
19,136,20024,"Kaplakriki",,1,"19-B",49,,
11,120,20025,"Mjódd",,1,"11-B",66,,
52,7,20026,"Reykjavík-Mjódd",,1,"52-A",99,,
57,130,20027,"Borgarnes",,1,"57-A",89,,
51,58,20028,"Reykjavík-Mjódd",,0,"51-B",96,,
5,120,20029,"Nauthóll",,1,"5-B",73,,
35,117,20030,"Kársnes/Engihjalli",,0,"35-A",5,,
92,133,20031,,,0,"92-A",177,,
7,119,20032,"Spöngin",,1,"7-A",7,,
15,137,20033,"Meistaravellir",,0,"15-C",194,,
21,73,20034,"Mjódd",,0,"21-A",2,,
6,125,20035,"Egilshöll",,0,"6-C",122,,
6,125,20036,"Egilshöll",,0,"6-C",122,,
5,126,20037,"Nauthóll",,1,"5-C",73,,
57,135,20038,"Reykjavík-Mjódd",,0,"57-D",94,,
12,121,20039,"Skerjafjörður",,1,"12-B",21,,
28,138,20040,"Hamraborg",,1,"28-A",3,,
14,128,20041,"Grandi",,1,"14-A",9,,
19,136,20042,"Kaplakriki",,1,"19-A",49,,
55,49,20043,"KEF-Airport",,1,"55-A",60,,
14,137,20044,"Verzló",,0,"14-A",10,,
13,126,20045,"Sléttuvegur",,1,"13-B",69,,
1,140,20046,"Hfj. Skarðshlíð",,0,"1-B",27,,
3,125,20047,"Grandi",,1,"3-A",31,,
1,125,20048,"Hfj. Skarðshlíð",,0,"1-C",25,,
21,73,20049,"Hvaleyrarholt",,1,"21-B",1,,
1,125,20050,"Hfj. Skarðshlíð",,0,"1-H",25,,
12,121,20051,"Skerjafjörður",,1,"12-C",21,,
11,109,20052,"Mjódd",,1,"11-B",66,,
1,125,20053,"Hfj. Skarðshlíð",,0,"1-A",25,,
51,68,20054,"Hvolsvöllur",,1,"51-E",147,,
15,137,20055,"Meistaravellir",,0,"15-F",194,,
57,135,20056,"Borgarnes",,1,"57-B",89,,
3,140,20057,"Sel/Fell",,0,"3-C",33,,
24,81,20058,"Ásgarður",,0,"24-B",58,,
3,123,20059,"Grandi",,1,"3-B",31,,
28,138,20060,"Dalaþing",,0,"28-B",4,,
57,130,20061,"Akranes",,1,"57-D",198,,
88,49,20062,"Grindavík",,1,"88-A",62,,
89,66,20063,"Reykjanesbær-Miðstöð",,1,"89-A",64,,
61,51,20064,,,1,"61-A",76,,
55,49,20065,"Fjörður",,0,"55-A",59,,
16,124,20066,"Árbær/Hraunsás",,0,"17-B",203,,
55,49,20067,"Fjörður",,0,"55-A",59,,
16,124,20068,"Árbær/Hraunsás",,0,"16-A",203,,
12,114,20069,"Mjódd/Ártún",,0,"12-C",137,,
"A5",33,20070,,,0,"A5",172,,
19,131,20071,"Kaplakriki",,1,"19-A",49,,
71,47,20072,"Hveragerði",,0,"71-A",149,,
55,63,20073,"KEF-Airport",,1,"55-A",60,,
19,131,20074,"Ásvallalaug",,0,"19-A",48,,
"A1",33,20075,,,0,"A1",168,,
2,123,20076,"HÍ",,1,"2-B",29,,
21,86,20077,"Hvaleyrarholt",,1,"21-B",1,,
14,137,20078,"Verzló",,0,"14-C",10,,
5,109,20079,"Nauthóll",,1,"5-A",140,,
5,109,20080,"Nauthóll",,1,"5-C",73,,
88,66,20081,"Fjölbrautaskóli Suðurnesja",,0,"88-A",164,,
19,113,20082,"Ásvallalaug",,0,"19-B",48,,
21,73,20083,"Hvaleyrarholt",,1,"21-C",1,,
51,68,20084,"Vík í Mýrdal",,1,"51-A",104,,
89,63,20085,"Sandgerði",,0,"89-A",63,,
55,53,20086,"Fjörður",,0,"55-A",59,,
3,125,20087,"Grandi",,1,"3-A",31,,
3,125,20088,"Grandi",,1,"3-B",31,,
28,119,20089,"Dalaþing",,0,"28-A",4,,
13,126,20090,"Eiðisgrandi",,0,"13-B",70,,
5,109,20091,"Nauthóll",,1,"5-D",140,,
21,73,20092,"Mjódd",,0,"21-A",2,,
71,68,20093,"Þorlákshöfn",,1,"71-A",150,,
12,121,20094,"Skerjafjörður",,1,"12-D",21,,
87,66,20095,"Sveitarfélagið Vogar",,1,"87-A",107,,
24,81,20096,"Ásgarður",,0,"24-C",58,,
5,109,20097,"Norðlingaholt",,0,"5-A",139,,
31,125,20098,"Egilshöll",,0,"31-B",133,,
18,123,20099,"Skúlagata um Grafarholt",,0,"18-A",42,,
19,131,20100,"Kaplakriki",,1,"19-B",49,,
8,125,20101,"Nauthóll - HR",,1,"8-A",126,,
57,115,20102,"Akureyri",,1,"57-A",88,,
11,109,20103,"Seltjarnarnes",,0,"11-E",65,,
11,109,20104,"Seltjarnarnes",,0,"11-D",65,,
11,109,20105,"Seltjarnarnes",,0,"11-E",65,,
15,139,20107,"Meistaravellir",,0,"15-C",15,,
11,109,20108,"Seltjarnarnes",,0,"11-F",65,,
24,83,20109,"Spöng",,1,"24-A",57,,
87,6,20110,"Sveitarfélagið Vogar",,1,"87-A",107,,
51,47,20111,"Reykjavík-Mjódd",,0,"51-A",96,,
28,138,20112,"Hamraborg",,1,"28-B",3,,
106,111,20113,"Bjarkarholt",,0,"106-A",211,,
13,126,20114,"Eiðisgrandi",,0,"13-A",70,,
36,119,20115,"Engihjalli/Kársnes",,0,"36-A",6,,
13,109,20116,"Sléttuvegur",,1,"13-C",69,,
13,109,20117,"Sléttuvegur",,1,"13-B",69,,
61,24,20118,,,0,"61-A",75,,
89,6,20119,"Reykjanesbær-Miðstöð",,1,"89-A",162,,
4,123,20120,"Skúlagata",,1,"4-A",36,,
2,125,20121,"HÍ",,1,"2-D",29,,
57,135,20122,"Reykjavík-Mjódd",,0,"57-B",94,,
7,117,20123,"Spöngin",,1,"7-A",7,,
13,109,20124,"Eiðisgrandi",,0,"13-B",70,,
57,130,20125,"Borgarnes",,1,"57-D",89,,
21,73,20126,"Mjódd",,0,"21-C",2,,
4,125,20127,"Skúlagata",,1,"4-B",36,,
96,133,20128,"Fáskrúðsfjörður",,0,"96-A",187,,
6,125,20129,"Egilshöll",,0,"6-D",122,,
6,125,20130,"Egilshöll",,0,"6-D",122,,
24,75,20131,"Spöng",,1,"24-C",57,,
22,123,20132,"Urriðaholt/Ásgarður",,0,"22-A",46,,
3,140,20133,"Grandi",,1,"3-A",31,,
23,125,20134,"Álftanes/Ásgarður",,0,"23-A",131,,
28,138,20135,"Dalaþing",,0,"28-B",4,,
14,137,20136,"Grandi",,1,"14-D",9,,
24,75,20137,"Spöng",,1,"24-A",57,,
18,123,20138,"Skúlagata um Grafarholt",,0,"18-D",42,,
28,117,20139,"Dalaþing",,0,"28-A",4,,
24,83,20140,"Ásgarður",,0,"24-B",58,,
24,75,20141,"Spöng",,1,"24-C",57,,
2,140,20142,"Mjódd",,0,"2-C",28,,
13,126,20143,"Sléttuvegur",,1,"13-B",69,,
14,137,20144,"Grandi",,1,"14-A",9,,
12,114,20145,"Skerjafjörður",,1,"12-B",138,,
4,125,20146,"Berg/Fell",,0,"4-C",37,,
19,131,20147,"Ásvallalaug",,0,"19-A",48,,
7,117,20148,"Spöngin",,1,"7-A",7,,
6,123,20149,"HÍ",,1,"6-C",39,,
52,17,20150,"Landeyjahöfn",,0,"52-A",100,,
31,125,20151,"Gufunesbær",,1,"31-B",132,,
18,125,20152,"Spöng um Grafarholt",,1,"18-B",43,,
1,123,20153,"Hfj. Skarðshlíð",,0,"1-D",25,,
11,120,20154,"Seltjarnarnes",,0,"11-B",65,,
4,140,20155,"Mjódd",,0,"4-B",38,,
16,124,20156,"Árbær/Hraunsás",,0,"17-A",203,,
6,123,20157,"HÍ",,1,"6-B",39,,
7,119,20158,"Leirvogstunga",,0,"7-A",8,,
57,108,20159,"Borgarnes",,1,"57-B",197,,
14,128,20160,"Grandi",,1,"14-A",9,,
55,53,20161,"Fjörður",,0,"55-A",59,,
21,97,20162,"Mjódd",,0,"21-C",2,,
28,119,20163,"Dalaþing",,0,"28-A",4,,
57,108,20164,"Reykjavík-Mjódd",,0,"57-B",90,,
55,63,20165,"Fjörður",,0,"55-A",59,,
23,140,20166,"Álftanes/Ásgarður",,0,"23-A",47,,
8,125,20167,"BSÍ/Landspítalinn",,0,"8-A",127,,
8,125,20168,"Nauthóll - HR",,1,"8-A",126,,
"P25",56,20169,"Spöng-Gufunes-Spöng",,0,"P25-A",19,,
35,117,20170,"Kársnes/Engihjalli",,0,"35-A",5,,
8,125,20171,"BSÍ/Landspítalinn",,0,"8-A",127,,
28,117,20172,"Hamraborg",,1,"28-B",3,,
12,118,20173,"Skerjafjörður",,1,"12-D",21,,
88,66,20174,"Grindavík",,1,"88-A",165,,
19,113,20175,"Ásvallalaug",,0,"19-B",48,,
13,126,20176,"Sléttuvegur",,1,"13-B",69,,
31,125,20177,"Gufunesbær",,1,"31-B",132,,
"A6",33,20178,"Síðuhverfi-Naustahverfi",,0,"A6",95,,
12,121,20179,"Mjódd/Ártún",,0,"12-C",22,,
36,138,20180,"Engihjalli/Kársnes",,0,"36-A",6,,
13,126,20181,"Eiðisgrandi",,0,"13-A",70,,
21,73,20182,"Mjódd",,0,"21-C",2,,
89,63,20183,"Sandgerði",,0,"89-A",163,,
18,125,20184,"Spöng um Grafarholt",,1,"18-D",43,,
5,126,20185,"Nauthóll",,1,"5-C",73,,
3,140,20186,"Grandi",,1,"3-A",31,,
21,86,20187,"Mjódd",,0,"21-C",2,,
71,68,20188,"Hveragerði",,0,"71-A",149,,
21,97,20189,"Hvaleyrarholt",,1,"21-B",1,,
8,125,20190,"Nauthóll - HR",,1,"8-A",126,,
8,125,20191,"Nauthóll - HR",,1,"8-A",126,,
2,125,20192,"Mjódd",,0,"2-B",28,,
12,114,20193,"Mjódd/Ártún",,0,"12-D",22,,
11,126,20194,"Mjódd",,1,"11-C",66,,
71,47,20195,"Þorlákshöfn",,1,"71-A",150,,
14,137,20196,"Grandi",,1,"14-F",9,,
51,47,20197,"Vík í Mýrdal",,1,"51-A",104,,
12,114,20198,"Mjódd/Ártún",,0,"12-D",22,,
89,66,20199,"Reykjanesbær-Miðstöð",,1,"89-A",64,,
19,113,20200,"Ásvallalaug",,0,"19-A",48,,
12,114,20201,"Mjódd/Ártún",,0,"12-B",22,,
5,126,20202,"Nauthóll",,1,"5-B",73,,
28,138,20203,"Dalaþing",,0,"28-B",4,,
12,114,20204,"Skerjafjörður",,1,"12-D",136,,
57,110,20205,"Borgarnes",,1,"57-B",89,,
